A,B,C,D,E,F,G,H,I,J,K,L
 State-gov,77516,13, Never-married, Adm-clerical, Not-in-family, Male,2174,0,40, United-States,Yes
 Self-emp-not-inc,83311,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,13, United-States,Yes
 Private,215646,9, Divorced, Handlers-cleaners, Not-in-family, Male,0,0,40, United-States,Yes
 Private,234721,7, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, United-States,Yes
 Private,338409,13, Married-civ-spouse, Prof-specialty, Wife, Female,0,0,40, Cuba,Yes
 Private,284582,14, Married-civ-spouse, Exec-managerial, Wife, Female,0,0,40, United-States,Yes
 Private,160187,5, Married-spouse-absent, Other-service, Not-in-family, Female,0,0,16, Jamaica,Yes
 Self-emp-not-inc,209642,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,45, United-States,No
 Private,45781,14, Never-married, Prof-specialty, Not-in-family, Female,14084,0,50, United-States,No
 Private,159449,13, Married-civ-spouse, Exec-managerial, Husband, Male,5178,0,40, United-States,No
 Private,280464,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,80, United-States,No
 State-gov,141297,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, India,No
 Private,122272,13, Never-married, Adm-clerical, Own-child, Female,0,0,30, United-States,Yes
 Private,205019,12, Never-married, Sales, Not-in-family, Male,0,0,50, United-States,Yes
 Private,121772,11, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, ?,No
 Private,245487,4, Married-civ-spouse, Transport-moving, Husband, Male,0,0,45, Mexico,Yes
 Self-emp-not-inc,176756,9, Never-married, Farming-fishing, Own-child, Male,0,0,35, United-States,Yes
 Private,186824,9, Never-married, Machine-op-inspct, Unmarried, Male,0,0,40, United-States,Yes
 Private,28887,7, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,Yes
 Self-emp-not-inc,292175,14, Divorced, Exec-managerial, Unmarried, Female,0,0,45, United-States,No
 Private,193524,16, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,60, United-States,No
 Private,302146,9, Separated, Other-service, Unmarried, Female,0,0,20, United-States,Yes
 Federal-gov,76845,5, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,40, United-States,Yes
 Private,117037,7, Married-civ-spouse, Transport-moving, Husband, Male,0,2042,40, United-States,Yes
 Private,109015,9, Divorced, Tech-support, Unmarried, Female,0,0,40, United-States,Yes
 Local-gov,216851,13, Married-civ-spouse, Tech-support, Husband, Male,0,0,40, United-States,No
 Private,168294,9, Never-married, Craft-repair, Own-child, Male,0,0,40, United-States,Yes
 ?,180211,10, Married-civ-spouse, ?, Husband, Male,0,0,60, South,No
 Private,367260,9, Divorced, Exec-managerial, Not-in-family, Male,0,0,80, United-States,Yes
 Private,193366,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Local-gov,190709,12, Never-married, Protective-serv, Not-in-family, Male,0,0,52, United-States,Yes
 Private,266015,10, Never-married, Sales, Own-child, Male,0,0,44, United-States,Yes
 Private,386940,13, Divorced, Exec-managerial, Own-child, Male,0,1408,40, United-States,Yes
 Federal-gov,59951,10, Married-civ-spouse, Adm-clerical, Own-child, Male,0,0,40, United-States,Yes
 State-gov,311512,10, Married-civ-spouse, Other-service, Husband, Male,0,0,15, United-States,Yes
 Private,242406,7, Never-married, Machine-op-inspct, Unmarried, Male,0,0,40, Puerto-Rico,Yes
 Private,197200,10, Never-married, Machine-op-inspct, Own-child, Male,0,0,40, United-States,Yes
 Private,544091,9, Married-AF-spouse, Adm-clerical, Wife, Female,0,0,25, United-States,Yes
 Private,84154,10, Married-civ-spouse, Sales, Husband, Male,0,0,38, ?,No
 Self-emp-not-inc,265477,12, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,Yes
 Private,507875,5, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,43, United-States,Yes
 Self-emp-not-inc,88506,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,Yes
 Private,172987,13, Married-civ-spouse, Tech-support, Husband, Male,0,0,50, United-States,Yes
 Private,94638,9, Separated, Adm-clerical, Unmarried, Female,0,0,40, United-States,Yes
 Private,289980,9, Never-married, Handlers-cleaners, Not-in-family, Male,0,0,35, United-States,Yes
 Federal-gov,337895,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,No
 Private,144361,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,38, United-States,Yes
 Private,128354,14, Divorced, Exec-managerial, Unmarried, Female,0,0,40, United-States,Yes
 State-gov,101603,11, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Private,271466,11, Never-married, Prof-specialty, Not-in-family, Male,0,0,43, United-States,Yes
 Private,32275,10, Married-civ-spouse, Exec-managerial, Wife, Female,0,0,40, United-States,Yes
 Private,226956,9, Never-married, Other-service, Own-child, Female,0,0,30, ?,Yes
 Private,51835,15, Married-civ-spouse, Prof-specialty, Wife, Female,0,1902,60, Honduras,No
 Federal-gov,251585,13, Divorced, Exec-managerial, Not-in-family, Male,0,0,55, United-States,No
 Self-emp-inc,109832,9, Divorced, Exec-managerial, Not-in-family, Male,0,0,60, United-States,Yes
 Private,237993,10, Married-civ-spouse, Tech-support, Husband, Male,0,0,40, United-States,No
 Private,216666,3, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, Mexico,Yes
 Private,56352,11, Married-civ-spouse, Other-service, Husband, Male,0,0,40, Puerto-Rico,Yes
 Private,147372,9, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,48, United-States,Yes
 Private,188146,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,5013,0,40, United-States,Yes
 Private,59496,13, Married-civ-spouse, Sales, Husband, Male,2407,0,40, United-States,Yes
 ?,293936,4, Married-spouse-absent, ?, Not-in-family, Male,0,0,40, ?,Yes
 Private,149640,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,Yes
 Private,116632,16, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,45, United-States,No
 Private,105598,10, Divorced, Tech-support, Not-in-family, Male,0,0,58, United-States,Yes
 Private,155537,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Private,183175,10, Divorced, Adm-clerical, Not-in-family, Female,0,0,40, United-States,Yes
 Private,169846,9, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,40, United-States,No
 Self-emp-inc,191681,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States,No
 ?,200681,10, Never-married, ?, Own-child, Male,0,0,40, United-States,Yes
 Private,101509,10, Never-married, Prof-specialty, Own-child, Male,0,0,32, United-States,Yes
 Private,309974,13, Separated, Sales, Own-child, Female,0,0,40, United-States,Yes
 Self-emp-not-inc,162298,13, Married-civ-spouse, Sales, Husband, Male,0,0,70, United-States,No
 Private,211678,10, Never-married, Machine-op-inspct, Not-in-family, Male,0,0,40, United-States,Yes
 Private,124744,10, Married-civ-spouse, Prof-specialty, Other-relative, Male,0,0,20, United-States,Yes
 Private,213921,9, Never-married, Other-service, Own-child, Male,0,0,40, Mexico,Yes
 Private,32214,12, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States,Yes
 ?,212759,6, Married-civ-spouse, ?, Husband, Male,0,0,2, United-States,Yes
 Private,309634,7, Never-married, Other-service, Own-child, Female,0,0,22, United-States,Yes
 Local-gov,125927,4, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,40, United-States,Yes
 Private,446839,9, Never-married, Sales, Not-in-family, Male,0,0,30, United-States,Yes
 Private,276515,13, Married-civ-spouse, Other-service, Husband, Male,0,0,40, Cuba,Yes
 Private,51618,9, Married-civ-spouse, Other-service, Wife, Female,0,0,40, United-States,Yes
 Private,159937,9, Married-civ-spouse, Sales, Husband, Male,0,0,48, United-States,Yes
 Private,343591,9, Divorced, Craft-repair, Not-in-family, Female,14344,0,40, United-States,No
 Private,346253,9, Divorced, Sales, Own-child, Female,0,0,35, United-States,Yes
 Local-gov,268234,9, Married-civ-spouse, Protective-serv, Husband, Male,0,0,40, United-States,No
 Private,202051,14, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States,Yes
 Private,54334,5, Never-married, Sales, Not-in-family, Male,0,0,40, United-States,Yes
 Federal-gov,410867,16, Never-married, Prof-specialty, Not-in-family, Female,0,0,50, United-States,No
 Private,249977,11, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,Yes
 Private,286730,10, Divorced, Craft-repair, Unmarried, Female,0,0,40, United-States,Yes
 Private,212563,10, Divorced, Machine-op-inspct, Unmarried, Female,0,0,25, United-States,Yes
 Private,117747,9, Married-civ-spouse, Sales, Wife, Female,0,1573,35, ?,Yes
 Local-gov,226296,13, Married-civ-spouse, Protective-serv, Husband, Male,0,0,40, United-States,No
 Local-gov,115585,10, Never-married, Handlers-cleaners, Not-in-family, Male,0,0,50, United-States,Yes
 Self-emp-not-inc,191277,16, Married-civ-spouse, Prof-specialty, Husband, Male,0,1902,60, United-States,No
 Private,202683,10, Married-civ-spouse, Sales, Husband, Male,0,0,48, United-States,No
 Private,171095,12, Divorced, Exec-managerial, Unmarried, Female,0,0,40, England,Yes
 Federal-gov,249409,9, Never-married, Other-service, Own-child, Male,0,0,40, United-States,Yes
 Private,124191,14, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,No
 Private,198282,13, Married-civ-spouse, Exec-managerial, Husband, Male,15024,0,60, United-States,No
 Self-emp-not-inc,149116,14, Never-married, Prof-specialty, Not-in-family, Female,0,0,50, United-States,Yes
 Private,188300,10, Never-married, Tech-support, Own-child, Female,0,0,40, United-States,Yes
 Private,103432,9, Never-married, Craft-repair, Not-in-family, Male,0,0,40, United-States,Yes
 Self-emp-inc,317660,9, Married-civ-spouse, Craft-repair, Husband, Male,7688,0,40, United-States,No
 ?,304873,6, Never-married, ?, Own-child, Female,34095,0,32, United-States,Yes
 Private,194901,7, Never-married, Handlers-cleaners, Own-child, Male,0,0,40, United-States,Yes
 Local-gov,189265,9, Never-married, Adm-clerical, Not-in-family, Female,0,0,40, United-States,Yes
 Private,124692,9, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, United-States,Yes
 Private,432376,13, Never-married, Sales, Other-relative, Male,0,0,40, United-States,Yes
 Private,65324,15, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,No
 Self-emp-not-inc,335605,9, Married-civ-spouse, Other-service, Husband, Male,0,1887,50, Canada,No
 Private,377869,10, Married-civ-spouse, Sales, Wife, Female,4064,0,25, United-States,Yes
 Private,102864,9, Never-married, Machine-op-inspct, Own-child, Female,0,0,40, United-States,Yes
 Private,95647,5, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,50, United-States,Yes
 Self-emp-inc,303090,10, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,Yes
 Local-gov,197371,11, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,No
 Private,247552,10, Married-civ-spouse, Sales, Husband, Male,0,0,56, United-States,Yes
 Private,102632,9, Never-married, Craft-repair, Not-in-family, Male,0,0,41, United-States,Yes
 Private,199915,10, Never-married, Other-service, Own-child, Female,0,0,40, United-States,Yes
 Private,118853,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,60, United-States,Yes
 Private,77143,13, Never-married, Exec-managerial, Own-child, Male,0,0,40, Germany,Yes
 State-gov,267989,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States,No
 Private,301606,10, Never-married, Other-service, Own-child, Male,0,0,35, United-States,Yes
 Private,287828,13, Married-civ-spouse, Exec-managerial, Wife, Female,0,0,40, United-States,No
 Private,111697,10, Never-married, Adm-clerical, Own-child, Female,0,1719,28, United-States,Yes
 Private,114937,12, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States,No
 ?,129305,9, Married-civ-spouse, ?, Husband, Male,0,0,40, United-States,Yes
 Private,365739,10, Divorced, Craft-repair, Not-in-family, Male,0,0,40, United-States,Yes
 Private,69621,12, Never-married, Sales, Not-in-family, Female,0,0,60, United-States,Yes
 Private,43323,9, Never-married, Other-service, Not-in-family, Female,0,1762,40, United-States,Yes
 Self-emp-not-inc,120985,9, Married-civ-spouse, Craft-repair, Husband, Male,4386,0,35, United-States,Yes
 Private,254202,13, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,Yes
 Private,146195,12, Divorced, Tech-support, Not-in-family, Female,0,0,36, United-States,Yes
 Federal-gov,125933,14, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, Iran,No
 Self-emp-not-inc,56920,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,60, United-States,Yes
 Private,163127,11, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,35, United-States,Yes
 Private,34310,10, Never-married, Sales, Own-child, Male,0,0,20, United-States,Yes
 Private,81973,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,No
 Self-emp-inc,66614,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Private,232782,10, Never-married, Sales, Own-child, Female,0,0,40, United-States,Yes
 Private,316868,10, Never-married, Other-service, Own-child, Male,0,0,30, Mexico,Yes
 Private,196584,11, Never-married, Prof-specialty, Not-in-family, Female,0,1564,40, United-States,No
 Private,105376,10, Never-married, Tech-support, Other-relative, Male,0,0,40, United-States,Yes
 Private,185814,9, Never-married, Transport-moving, Unmarried, Female,0,0,30, United-States,Yes
 Private,175374,10, Married-civ-spouse, Other-service, Husband, Male,0,0,24, United-States,Yes
 Private,108293,9, Widowed, Other-service, Unmarried, Female,0,0,24, United-States,Yes
 Private,181232,7, Married-civ-spouse, Craft-repair, Husband, Male,0,2179,40, United-States,Yes
 ?,174662,10, Divorced, ?, Not-in-family, Female,0,0,40, United-States,Yes
 Local-gov,186009,10, Divorced, Adm-clerical, Unmarried, Female,0,0,38, Mexico,Yes
 Private,198183,9, Never-married, Adm-clerical, Not-in-family, Female,0,0,40, United-States,Yes
 Private,163003,13, Never-married, Exec-managerial, Other-relative, Female,0,0,40, Philippines,Yes
 Private,296158,9, Never-married, Craft-repair, Own-child, Male,0,0,35, United-States,Yes
 ?,252903,9, Divorced, ?, Not-in-family, Male,0,0,45, United-States,No
 Private,187715,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,46, United-States,Yes
 Private,214542,13, Never-married, Handlers-cleaners, Not-in-family, Male,0,0,40, United-States,Yes
 Self-emp-not-inc,494223,10, Separated, Sales, Unmarried, Male,0,1816,2, United-States,Yes
 Private,191535,9, Divorced, Craft-repair, Not-in-family, Male,0,0,60, United-States,Yes
 Private,228456,13, Separated, Other-service, Other-relative, Male,0,0,50, United-States,Yes
 ?,38317,2, Divorced, ?, Not-in-family, Female,0,0,20, United-States,Yes
 Private,252752,9, Never-married, Other-service, Unmarried, Female,0,0,40, United-States,Yes
 Self-emp-inc,78374,14, Divorced, Exec-managerial, Unmarried, Female,0,0,40, United-States,Yes
 Private,88419,9, Never-married, Exec-managerial, Not-in-family, Female,0,0,40, England,Yes
 Self-emp-not-inc,201080,14, Married-civ-spouse, Sales, Husband, Male,0,0,40, United-States,No
 Private,207157,10, Divorced, Other-service, Unmarried, Female,0,0,40, Mexico,Yes
 Federal-gov,235485,12, Never-married, Exec-managerial, Not-in-family, Male,0,0,42, United-States,Yes
 State-gov,102628,14, Widowed, Protective-serv, Unmarried, Male,0,0,40, United-States,Yes
 Private,25828,7, Never-married, Handlers-cleaners, Own-child, Male,0,0,16, United-States,Yes
 Local-gov,54826,11, Widowed, Prof-specialty, Not-in-family, Female,0,0,20, United-States,Yes
 Private,124953,9, Never-married, Other-service, Not-in-family, Male,0,1980,40, United-States,Yes
 State-gov,175325,9, Married-civ-spouse, Protective-serv, Husband, Male,0,0,40, United-States,Yes
 Private,96062,10, Married-civ-spouse, Sales, Husband, Male,0,1977,40, United-States,No
 Private,428030,13, Never-married, Craft-repair, Not-in-family, Male,0,0,50, United-States,Yes
 State-gov,149624,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,No
 Private,253814,9, Married-spouse-absent, Sales, Unmarried, Female,0,0,25, United-States,Yes
 Private,312956,9, Never-married, Craft-repair, Own-child, Male,0,0,40, United-States,Yes
 Private,483777,9, Never-married, Handlers-cleaners, Not-in-family, Male,0,0,40, United-States,Yes
 Private,183930,9, Never-married, Other-service, Own-child, Male,0,0,12, United-States,Yes
 Private,37274,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,65, United-States,Yes
 Local-gov,181344,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,38, United-States,No
 Private,114580,10, Divorced, Adm-clerical, Not-in-family, Female,0,0,40, United-States,Yes
 Private,633742,10, Never-married, Craft-repair, Not-in-family, Male,0,0,45, United-States,Yes
 Private,286370,4, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, Mexico,No
 Federal-gov,29054,10, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,42, United-States,No
 Private,304030,9, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States,Yes
 Self-emp-not-inc,143129,13, Divorced, Exec-managerial, Not-in-family, Female,0,0,40, United-States,Yes
 ?,135105,13, Divorced, ?, Not-in-family, Female,0,0,50, United-States,Yes
 Private,99928,14, Married-civ-spouse, Prof-specialty, Wife, Female,0,0,50, United-States,Yes
 State-gov,109567,16, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,1, United-States,No
 Private,155222,10, Divorced, Machine-op-inspct, Not-in-family, Female,0,0,28, United-States,Yes
 Private,159567,10, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,Yes
 Local-gov,523910,13, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Private,120939,10, Married-civ-spouse, Tech-support, Husband, Male,0,0,45, United-States,Yes
 Federal-gov,130760,13, Married-civ-spouse, Tech-support, Husband, Male,0,0,24, United-States,Yes
 Private,197387,3, Married-civ-spouse, Transport-moving, Other-relative, Male,0,0,40, Mexico,Yes
 Private,99374,10, Divorced, Craft-repair, Not-in-family, Male,0,0,40, United-States,Yes
 Federal-gov,56795,14, Never-married, Exec-managerial, Not-in-family, Female,14084,0,55, United-States,No
 Private,138992,14, Married-civ-spouse, Prof-specialty, Other-relative, Male,7298,0,40, United-States,No
 Self-emp-not-inc,32921,9, Never-married, Sales, Not-in-family, Male,0,0,40, United-States,Yes
 Private,397317,14, Never-married, Prof-specialty, Not-in-family, Female,0,1876,40, United-States,Yes
 ?,170653,9, Never-married, ?, Own-child, Male,0,0,40, Italy,Yes
 Private,259323,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States,No
 Local-gov,254817,10, Never-married, Prof-specialty, Not-in-family, Female,0,1340,40, United-States,Yes
 State-gov,48211,9, Divorced, Adm-clerical, Unmarried, Female,0,0,35, United-States,Yes
 Private,140164,7, Never-married, Sales, Own-child, Female,0,0,40, United-States,Yes
 Private,128757,13, Married-civ-spouse, Other-service, Husband, Male,7298,0,36, United-States,No
 Private,36270,9, Divorced, Craft-repair, Not-in-family, Male,0,0,60, United-States,Yes
 Self-emp-inc,210563,9, Married-civ-spouse, Sales, Wife, Female,15024,0,35, United-States,No
 Private,65368,7, Never-married, Sales, Own-child, Female,0,0,12, United-States,Yes
 Local-gov,160943,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,Yes
 Private,208358,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,No
 Private,153790,10, Never-married, Sales, Not-in-family, Female,0,0,40, United-States,Yes
 Private,85815,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Self-emp-inc,125417,4, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,No
 Private,635913,13, Never-married, Exec-managerial, Not-in-family, Male,0,0,60, United-States,No
 Private,313321,12, Divorced, Sales, Not-in-family, Female,0,0,40, United-States,Yes
 Private,182609,13, Married-civ-spouse, Sales, Husband, Male,0,0,50, Poland,Yes
 Private,109434,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,55, United-States,Yes
 Private,255004,6, Never-married, Craft-repair, Not-in-family, Male,0,0,40, United-States,Yes
 Private,197860,10, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, United-States,Yes
 ?,187656,2, Divorced, ?, Not-in-family, Male,0,0,40, United-States,Yes
 Private,51744,9, Never-married, Other-service, Not-in-family, Male,0,2206,40, United-States,Yes
 Private,176681,9, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,20, United-States,Yes
 Local-gov,140359,1, Never-married, Machine-op-inspct, Not-in-family, Female,0,0,35, United-States,Yes
 Private,243313,9, Never-married, Sales, Own-child, Female,0,0,40, United-States,Yes
 ?,24215,6, Divorced, ?, Not-in-family, Female,0,0,10, United-States,Yes
 Self-emp-not-inc,167687,9, Married-civ-spouse, Farming-fishing, Husband, Male,1409,0,50, United-States,Yes
